Feature,Importance
numerical__coding_skill_score,0.07681973043602418
numerical__mock_interview_score,0.07232448895405562
numerical__aptitude_score,0.06657708413253298
numerical__logical_reasoning_score,0.06641119160182887
numerical__communication_skill_score,0.06402537386096446
numerical__leadership_score,0.06210616030877554
numerical__extracurricular_score,0.060035221489039614
numerical__cgpa,0.056743087656156536
numerical__linkedin_connections,0.05645646483154808
numerical__attendance_percentage,0.055100146209988134
numerical__backlogs,0.04879884175800535
numerical__sleep_hours,0.046426839522248714
numerical__study_hours_per_day,0.04612628063985515
numerical__projects_count,0.04004446313492886
numerical__internships_count,0.03540991842374987
numerical__github_repos,0.025860047933594872
numerical__age,0.021315045249048103
numerical__certifications_count,0.02039933457771909
numerical__hackathons_participated,0.015141562497276618
categorical__college_tier_Tier 2,0.005866685948507119
categorical__branch_CSE,0.005671594332371913
categorical__college_tier_Tier 3,0.005472336614709168
categorical__volunteer_experience_Yes,0.005416424562534833
categorical__gender_Male,0.00528599195266418
categorical__volunteer_experience_No,0.005159257262231302
categorical__gender_Female,0.005109215473355949
categorical__college_tier_Tier 1,0.004858648369117086
categorical__branch_IT,0.0048575756319353906
categorical__branch_ECE,0.004255605980088094
categorical__branch_Civil,0.004060590461452314
categorical__branch_Mechanical,0.003968398688083175
categorical__branch_EEE,0.003896391505608821
